past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='3333W', name='Jordi', lastName='Sánchez', department='Legal', salary=20000}
past_lab.Employee{dni='6666T', name='Miguel', lastName='Sánchez', department='IT', salary=27289.36}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='3333W', name='Néstor', lastName='Schumacher', department='Legal', salary=20000}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='6666T', name='Jaume', lastName='Lloris', department='Marketing', salary=20000}
past_lab.Employee{dni='3333W', name='Jaume', lastName='Schumacher', department='Marketing', salary=19420.09}
past_lab.Employee{dni='5555J', name='Anthony', lastName='Schumacher', department='HR', salary=37762.33}
past_lab.Employee{dni='8888W', name='Jordi', lastName='Andreu', department='Legal', salary=45448.11}
past_lab.Employee{dni='3333W', name='Diego', lastName='Schumacher', department='Legal', salary=13341.84}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='6666T', name='Diego', lastName='Lloris', department='Legal', salary=12294.63}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='4444X', name='Marina', lastName='Sánchez', department='IT', salary=20000}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='4444X', name='Jaume', lastName='Schumacher', department='HR', salary=20000}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='8888W', name='Anthony', lastName='Lloris', department='IT', salary=20000}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='5555J', name='Marina', lastName='Schumacher', department='HR', salary=20000}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='5555J', name='Jaume', lastName='Schumacher', department='IT', salary=20000}
past_lab.Employee{dni='8888W', name='Marina', lastName='Andreu', department='IT', salary=49743.30}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='5555J', name='Marina', lastName='Andreu', department='HR', salary=14950.21}
past_lab.Employee{dni='5555J', name='Marina', lastName='Lloris', department='IT', salary=19372.74}
past_lab.Employee{dni='6666T', name='Diego', lastName='Sánchez', department='HR', salary=17838.29}
past_lab.Employee{dni='4444X', name='Néstor', lastName='Sánchez', department='Marketing', salary=24176.01}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='5555J', name='Jordi', lastName='Andreu', department='Legal', salary=20000}
past_lab.Employee{dni='8888W', name='Marina', lastName='Andreu', department='IT', salary=10362.41}
past_lab.Employee{dni='4444X', name='Miguel', lastName='Andreu', department='Marketing', salary=25937.73}
past_lab.Employee{dni='8888W', name='Jaume', lastName='Lloris', department='HR', salary=47108.53}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='5555J', name='Miguel', lastName='Schumacher', department='HR', salary=20000}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='8888W', name='Anthony', lastName='Andreu', department='Legal', salary=10795.82}
past_lab.Employee{dni='5555J', name='Jordi', lastName='Lloris', department='Legal', salary=48365.61}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='8888W', name='Marina', lastName='Schumacher', department='Legal', salary=20000}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='4444X', name='Miguel', lastName='Sánchez', department='Marketing', salary=20000}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='8888W', name='Jaume', lastName='Lloris', department='IT', salary=20000}
past_lab.Employee{dni='8888W', name='Jordi', lastName='Andreu', department='Marketing', salary=24523.44}
past_lab.Employee{dni='3333W', name='Jordi', lastName='Schumacher', department='Marketing', salary=48175.93}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='3333W', name='Néstor', lastName='Andreu', department='HR', salary=20000}
past_lab.Employee{dni='4444X', name='Miguel', lastName='Andreu', department='Legal', salary=25580.80}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='6666T', name='Anthony', lastName='Sánchez', department='Marketing', salary=20000}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='8888W', name='Jaume', lastName='Schumacher', department='IT', salary=18140.11}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='5555J', name='Miguel', lastName='Schumacher', department='IT', salary=18555.90}
past_lab.Employee{dni='4444X', name='Jaume', lastName='Andreu', department='Marketing', salary=45322.54}
past_lab.Intern{endOfContractDate='13/01/2024'} past_lab.Employee{dni='5555J', name='Diego', lastName='Schumacher', department='HR', salary=20000}
